GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","04/07/2015","05-15-22-26-64","6","4","ROLLOVER",
"MEGAMILLIONS","04/03/2015","10-36-47-63-74","2","5","ROLLOVER",
"MEGAMILLIONS","03/31/2015","08-26-41-61-73","11","5","ROLLOVER",
"MEGAMILLIONS","03/27/2015","17-21-36-58-70","3","5","ROLLOVER",
"MEGAMILLIONS","03/24/2015","02-23-32-45-55","12","2","NY",
"MEGAMILLIONS","03/20/2015","07-50-54-61-75","7","4","ROLLOVER",
"MEGAMILLIONS","03/17/2015","11-27-44-45-58","3","5","ROLLOVER",
"MEGAMILLIONS","03/13/2015","08-22-30-42-45","3","5","ROLLOVER",
"MEGAMILLIONS","03/10/2015","10-14-19-30-73","14","5","ROLLOVER",
"MEGAMILLIONS","03/06/2015","30-48-55-68-73","5","3","ROLLOVER",
"MEGAMILLIONS","03/03/2015","09-11-42-44-50","3","4","ROLLOVER",
"MEGAMILLIONS","02/27/2015","07-49-53-60-64","4","2","NY",
"MEGAMILLIONS","02/24/2015","15-23-26-45-66","4","3","ROLLOVER",
"MEGAMILLIONS","02/20/2015","02-06-08-52-66","13","3","ROLLOVER",
"MEGAMILLIONS","02/17/2015","06-45-50-65-66","1","5","ROLLOVER",
"MEGAMILLIONS","02/13/2015","04-20-44-65-74","14","3","ROLLOVER",
"MEGAMILLIONS","02/10/2015","07-42-53-58-71","15","2","ROLLOVER",
"MEGAMILLIONS","02/06/2015","05-06-17-33-68","13","3","ROLLOVER",
"MEGAMILLIONS","02/03/2015","11-22-25-58-69","13","5","ROLLOVER",
"MEGAMILLIONS","01/30/2015","18-31-39-45-55","6","5","ROLLOVER",
"MEGAMILLIONS","01/27/2015","05-26-27-44-57","7","3","ROLLOVER",
"MEGAMILLIONS","01/23/2015","14-15-32-68-72","8","2","ROLLOVER",
"MEGAMILLIONS","01/20/2015","31-35-56-59-63","6","5","ROLLOVER",
"MEGAMILLIONS","01/16/2015","26-32-44-45-58","11","3","IL",
"MEGAMILLIONS","01/13/2015","12-20-25-50-51","7","5","ROLLOVER",
"MEGAMILLIONS","01/09/2015","37-49-50-56-57","8","5","ROLLOVER",
"MEGAMILLIONS","01/06/2015","12-20-27-38-75","4","3","ROLLOVER",
"MEGAMILLIONS","01/02/2015","13-15-35-62-74","12","4","ROLLOVER",
"MEGAMILLIONS","12/30/2014","03-07-44-63-67","12","4","ROLLOVER",
"MEGAMILLIONS","12/26/2014","02-05-10-20-38","14","3","ROLLOVER",
"MEGAMILLIONS","12/23/2014","04-10-31-56-66","7","3","ROLLOVER",
"MEGAMILLIONS","12/19/2014","14-18-58-59-68","4","3","ROLLOVER",
"MEGAMILLIONS","12/16/2014","41-58-68-72-73","1","5","ROLLOVER",
"MEGAMILLIONS","12/12/2014","02-31-46-58-65","7","5","ROLLOVER",
"MEGAMILLIONS","12/09/2014","27-45-49-51-52","14","5","ROLLOVER",
"MEGAMILLIONS","12/05/2014","04-05-11-51-59","5","5","ROLLOVER",
"MEGAMILLIONS","12/02/2014","13-18-22-49-62","11","5","ROLLOVER",
"MEGAMILLIONS","11/28/2014","08-26-29-36-47","10","3","ROLLOVER",
"MEGAMILLIONS","11/25/2014","10-11-29-47-56","4","2","ROLLOVER",
"MEGAMILLIONS","11/21/2014","03-12-35-37-63","15","2","ROLLOVER",
"MEGAMILLIONS","11/18/2014","37-39-53-68-75","6","2","ROLLOVER",
